,depth,temp
2003-01-07-23-34,50.0,6.1299999999999999
2003-01-08-00-34,50.0,6.0999999999999996
2003-01-08-01-34,50.0,6.0999999999999996
2003-01-08-02-34,50.0,6.1200000000000001
2003-01-08-03-34,50.0,6.2400000000000002
2003-01-08-04-34,50.0,6.4699999999999998
2003-01-08-05-34,50.0,6.4500000000000002
2003-01-08-06-34,50.0,6.4900000000000002
2003-01-08-07-34,50.0,6.4400000000000004
2003-01-08-08-34,50.0,6.4100000000000001
2003-01-08-09-34,50.0,6.4299999999999997
2003-01-08-10-34,50.0,6.2800000000000002
2003-01-08-11-34,50.0,6.1299999999999999
2003-01-08-12-34,50.0,6.1600000000000001
2003-01-08-13-34,50.0,6.1500000000000004
2003-01-08-14-34,50.0,6.0300000000000002
2003-01-08-15-34,50.0,6.2300000000000004
2003-01-08-16-34,50.0,6.3200000000000003
2003-01-08-17-34,50.0,6.2599999999999998
2003-01-08-18-34,50.0,6.3200000000000003
2003-01-08-19-34,50.0,6.3099999999999996
2003-01-08-20-34,50.0,6.29
2003-01-08-21-34,50.0,6.3099999999999996
2003-01-08-22-34,50.0,6.29
2003-01-08-23-34,50.0,6.2999999999999998
2003-01-09-00-34,50.0,6.2699999999999996
2003-01-09-01-34,50.0,6.2800000000000002
2003-01-09-02-34,50.0,6.3099999999999996
2003-01-09-03-34,50.0,6.3399999999999999
2003-01-09-04-34,50.0,6.3499999999999996
2003-01-09-05-34,50.0,6.4000000000000004
2003-01-09-06-34,50.0,6.5
2003-01-09-07-34,50.0,6.5
2003-01-09-08-34,50.0,6.4900000000000002
2003-01-09-09-34,50.0,6.4000000000000004
2003-01-09-10-34,50.0,6.29
2003-01-09-11-34,50.0,6.2999999999999998
2003-01-09-12-34,50.0,6.29
2003-01-09-13-34,50.0,6.2800000000000002
2003-01-09-14-34,50.0,6.2300000000000004
2003-01-09-15-34,50.0,6.2400000000000002
2003-01-09-16-34,50.0,6.1799999999999997
2003-01-09-17-34,50.0,6.1500000000000004
2003-01-09-18-34,50.0,6.1299999999999999
2003-01-09-19-34,50.0,6.1399999999999997
2003-01-09-20-34,50.0,6.1200000000000001
2003-01-09-21-34,50.0,6.2999999999999998
2003-01-09-22-34,50.0,6.3200000000000003
2003-01-09-23-34,50.0,6.2400000000000002
2003-01-10-00-34,50.0,6.0700000000000003
2003-01-10-01-34,50.0,6.2400000000000002
2003-01-10-02-34,50.0,6.2999999999999998
2003-01-10-03-34,50.0,6.6100000000000003
2003-01-10-04-34,50.0,6.4299999999999997
2003-01-10-05-34,50.0,6.6900000000000004
2003-01-10-06-34,50.0,6.6900000000000004
2003-01-10-07-34,50.0,6.5999999999999996
2003-01-10-08-34,50.0,6.7400000000000002
2003-01-10-09-34,50.0,6.7599999999999998
2003-01-10-10-34,50.0,6.7699999999999996
2003-01-10-11-34,50.0,6.7800000000000002
2003-01-10-12-34,50.0,6.7800000000000002
2003-01-10-13-34,50.0,6.7999999999999998
2003-01-10-14-34,50.0,6.7999999999999998
2003-01-10-15-34,50.0,6.7999999999999998
2003-01-10-16-34,50.0,6.7999999999999998
2003-01-10-17-34,50.0,6.79
2003-01-10-18-34,50.0,6.7999999999999998
2003-01-10-19-34,50.0,6.79
2003-01-10-20-34,50.0,6.7999999999999998
2003-01-10-21-34,50.0,6.7999999999999998
2003-01-10-22-34,50.0,6.8099999999999996
2003-01-10-23-34,50.0,6.7800000000000002
2003-01-11-00-34,50.0,6.7800000000000002
2003-01-11-01-34,50.0,6.7699999999999996
2003-01-11-02-34,50.0,6.7599999999999998
2003-01-11-03-34,50.0,6.7599999999999998
2003-01-11-04-34,50.0,6.7599999999999998
2003-01-11-05-34,50.0,6.75
2003-01-11-06-34,50.0,6.75
2003-01-11-07-34,50.0,6.7400000000000002
2003-01-11-08-34,50.0,6.7300000000000004
2003-01-11-09-34,50.0,6.7000000000000002
2003-01-11-10-34,50.0,6.6699999999999999
2003-01-11-11-34,50.0,6.6500000000000004
2003-01-11-12-34,50.0,6.6399999999999997
2003-01-11-13-34,50.0,6.4199999999999999
2003-01-11-14-34,50.0,6.4199999999999999
2003-01-11-15-34,50.0,6.3600000000000003
2003-01-11-16-34,50.0,6.4100000000000001
2003-01-11-17-34,50.0,6.4199999999999999
2003-01-11-18-34,50.0,6.4699999999999998
2003-01-11-19-34,50.0,6.4900000000000002
2003-01-11-20-34,50.0,6.5099999999999998
2003-01-11-21-34,50.0,6.54
2003-01-11-22-34,50.0,6.54
2003-01-11-23-34,50.0,6.5300000000000002
2003-01-12-00-34,50.0,6.4299999999999997
2003-01-12-01-34,50.0,6.2800000000000002
2003-01-12-02-34,50.0,6.0199999999999996
2003-01-12-03-34,50.0,5.8200000000000003
2003-01-12-04-34,50.0,5.6699999999999999
2003-01-12-05-34,50.0,5.6200000000000001
2003-01-12-06-34,50.0,5.6799999999999997
2003-01-12-07-34,50.0,5.7800000000000002
2003-01-12-08-34,50.0,5.9500000000000002
