emolt_site.SITE, emolt_site.LAT_DDMM, emolt_site.LON_DDMM
"TA54", 4020.5, 6846.0
"TA55", 4020.75, 6850.0
"BT04", 4338.8, 7013.32
"AC02", 4148.87, 7027.61
"NF33", 4006.9, 6849.27
"NF34", 4017.99, 6756.49
"NF35", 4022.21, 6733.09
"NF36", 4022.21, 6733.09
"NF37", 4022.21, 6733.09
"NF38", 4057.15, 6742.82
"NF39", 4034.86, 6735.54
"NF40", 4034.83, 6735.5
"NF41", 4034.83, 6735.5
"NF42", 4019.49, 6731.62
"TA48", 4014.8, 6848.3
"TA49", 4054.5, 6850.0
"OD08", 4436.27, 6705.15
"MS07", 4333.0, 7010.24
"MS08", 4345.02, 7002.92
"ID07", 4345.82, 6917.8
"TA50", 4006.0, 6918.0
